ral_id|query_id|source|sink
0|808941968|0|900000000
0|808941968|900000000|1
0|1537532628|0|900000001
0|1537532628|900000001|1
0|406901693|1|900000002
0|406901693|900000002|0
0|406901693|0|900000003
0|406901693|900000003|2
0|499702119|0|900000004
0|499702119|900000004|1
0|902606975|0|900000005
0|902606975|900000005|1
